term	parent_chain	count_channel	confidence	source	notes
have	possession_or_property_state|visual_action	action	medium	1k_stage9_action_audit_v2 + project_action_ontology	visual has/has-part/property predicate
appear	appearance_state|visual_action	action	medium	1k_stage9_action_audit_v2 + project_action_ontology	appearance/stative visual predicate
include	enumeration_or_composition_predicate|visual_action	action	medium	1k_stage9_action_audit_v2 + project_action_ontology	caption composition/enumeration predicate
line	arrangement_action|spatial_configuration_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:line.v.01	objects line a road/wall/path
park	placement_state_action|vehicle_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:park.v.01	vehicle/person placement state
stretch	spatial_extent_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:stretch.v.02	spatial extent predicate
set	placement_or_arrangement_state|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:set.v.01	set/placed/arranged visual state
feature	visual_feature_predicate|visual_presentation_action|visual_action	action	medium	1k_stage9_action_audit_v2 + project_action_ontology	caption feature/has-prominent-part predicate
lead	path_orientation_action|spatial_configuration_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:lead.v.01	path/line leads to target
rise	vertical_motion_or_extent_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:rise.v.01	vertical extent/motion
grow	biological_growth_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:grow.v.01	plant/body growth or growth state
position	placement_or_arrangement_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:position.v.01	positioned/placed state
label	text_annotation_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:label.v.01	visual label/text annotation
raise	body_or_object_motion_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:raise.v.01	raised body/object motion
suggest	visual_inference_predicate|visual_action	action	low	1k_stage9_action_audit_v2 + project_action_ontology	caption inference predicate; keep separate, low confidence
write	text_creation_or_display_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:write.v.01	written text or writing action
gather	grouping_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:gather.v.01	people/objects gather together
take	capture_or_manipulation_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:take.v.01	photo-taking or object-taking; ambiguous
float	locomotion_or_support_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:float.v.01	floating object/vehicle state
arrange	arrangement_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:arrange.v.01	arranged objects
reflect	optical_reflection_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:reflect.v.01	mirror/reflection visual action
frame	visual_framing_action|spatial_configuration_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:frame.v.01	objects frame scene/source
rid	visual_texture_state|visual_action	action	low	1k_stage9_action_audit_v2	parser artifact from ridged; keep low-confidence visual property state
shake	gesture_or_contact_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:shake.v.01	shake hands/body/object
fly	locomotion_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:fly.v.01	flight motion
extend	spatial_extent_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:extend.v.01	extends across/into
paint	coloring_or_creation_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:paint.v.01	painting or painted state
perch	body_pose_or_support_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:perch.v.01	bird/person perched on support
perform	performance_action|activity_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:perform.v.01	visible performance action
make	creation_or_material_predicate|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:make.v.01	made of / making action ambiguity
illuminate	illumination_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:illuminate.v.01	lighting/illumination
gesture	gesture_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:gesture.v.01	gesture action
see	perception_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:see.v.01	visible/perception predicate
compete	sports_action|activity_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:compete.v.01	sports/competition action
glow	illumination_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:glow.v.01	glowing light state
wave	gesture_or_motion_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:wave.v.01	waving/undulating motion
decorate	decoration_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:decorate.v.01	decorative modification
scatter	distribution_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:scatter.v.01	scattered spatial distribution
sing	performance_or_communication_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:sing.v.01	singing performance
kneel	body_pose_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:kneel.v.01	body pose
mount	attachment_or_placement_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:mount.v.01	mounted/placed/attached; can be ride context
listen	perception_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:listen.v.01	visible listening context
draw	creation_or_targeting_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:draw.v.01	drawing or drawing bow ambiguity
drive	vehicle_use_action|locomotion_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:drive.v.01	vehicle operation
reach	body_motion_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:reach.v.01	reaching motion
create	creation_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:create.v.01	creation/making action
flank	spatial_configuration_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:flank.v.01	objects on sides of target
curve	shape_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:curve.v.01	curved shape/state
indicate	visual_indication_or_text_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:indicate.v.01	sign/visual indication
observe	perception_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:observe.v.01	visible observation
light	illumination_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:light.v.01	lighting/illuminating
blur	visual_effect_state|visual_action	action	medium	1k_stage9_action_audit_v2	blurred background/state
cast	projection_or_shadow_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:cast.v.01	cast shadow/light/object
span	spatial_extent_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:span.v.01	bridge/line spans target
turn	rotation_or_orientation_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:turn.v.01	turn/rotate/orient
spread	distribution_state|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:spread.v.01	spread out distribution
highlight	visual_emphasis_or_text_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:highlight.v.01	highlighted visual/text feature
bloom	biological_growth_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:bloom.v.01	flower bloom
pin	attachment_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:pin.v.01	pinned/attached
tackle	contact_action|sports_action|visual_action	action	high	1k_stage9_action_audit_v2 + wordnet_synset:tackle.v.01	sports/contact action
use	interaction_action|visual_action	action	medium	1k_stage9_action_audit_v2 + wordnet_synset:use.v.01	visible use/operation
