term	parent_chain	count_channel	confidence	source	notes
star	symbol_or_celestial_object|visual_element	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	ambiguous flag star/celestial star; keep broad visual parent
step	architectural_part|structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	stairs/steps as built structure part
judoka	athlete|person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	judo athlete
sweater	clothing|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wearable clothing
interior	interior_place|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	inside place/setting
student	person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	human role
facade	architectural_part|structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	building exterior face
edge	spatial_region|scene_element	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	boundary/region; keep broad
speaker	person_or_audio_device|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	ambiguous human speaker/audio device
gown	clothing|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wearable clothing
dock	structure|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	waterfront structure/place
controller	device|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	control device
football_player	athlete|person|human	entity	high	1k_stage9_audit_v3 + compound_head:player	athlete compound
fur	animal_part|material	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	animal covering/material noun
power_line	infrastructure|artifact	entity	high	1k_stage9_audit_v3 + compound_head:line	utility line
courtyard	outdoor_place|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	enclosed outdoor place
dish	food_or_container|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	ambiguous prepared food/plate vessel
outfit	clothing|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	clothing set
pool	water_body|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	water body or swimming pool
stand	support_structure|furniture|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	object support/stand; can also be spectator stands
square	public_place|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	public square/place
tool	tool|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	physical tool
place	place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	generic place
crane	machine_or_animal|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	construction crane or bird; keep broad
cityscape	place|scene_element	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	urban scene view
cactus	plant|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	plant
storefront	building_part|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	shop/building front
sailboat	boat|vehicle	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	water vehicle
ribbon	accessory|decoration|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	decorative strip/accessory
ship	boat|vehicle	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	water vehicle
word	text_element	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	text element
valley	landform|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	landform
bank	landform|place	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	river bank/slope; keep place parent
beam	structural_part_or_light_element|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	structural beam or light beam
ruler	measurement_device|tool|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	measuring tool
greenery	plant|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	vegetation
detail	visual_element	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	visual/detail noun
shutter	architectural_part|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	window covering/building part
canopy	covering_structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	overhead covering
monument	structure|artwork|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	memorial structure
reed	plant|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	plant
mat	floor_covering|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	mat/floor covering
match	sports_event	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	sports match/event
tail	animal_part_or_vehicle_part	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	animal tail or aircraft tail
mirror	reflective_object|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	reflective object
gymnasium	sports_facility|interior_place|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	indoor sports place
boot	clothing|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	footwear
officer	person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	human role
member	person|human	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	member/person in group contexts
presentation	visual_document|event	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	presentation screen/event content
glove	clothing|wearable	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wearable clothing
post	structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	upright support/post
lantern	lighting_device|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	lighting object
sauce	food	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	food substance
silhouette	visual_element	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	visual outline
carving	artwork|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	carved artwork/detail
paint	material|visual_attribute	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	paint material/color layer
antenna	device_part_or_animal_part	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	antenna/antennae ambiguity
medal	award|accessory|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	award object
machinery	machine|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	machines/equipment
rug	floor_covering|textile|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	floor textile
groom	person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	human wedding role
guest	person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	human role
sunset	time_context|natural_scene	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	time/natural scene
case	container|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	case/container; broad artifact
hole	spatial_region|scene_element	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	opening/region
portrait	artwork|visual_document|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	visual artwork/document
roadside	place|spatial_region	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	roadside place
archway	architectural_part|structure	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	architectural opening
balcony	architectural_part|structure	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	building part
pitcher	person_or_container|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	baseball pitcher or container
block	structure|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	physical block/barrier/part
scaffolding	structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	temporary support structure
polo_shirt	clothing|wearable	entity	high	1k_stage9_audit_v3 + compound_head:shirt	clothing compound
marker	writing_tool|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	writing tool/marker
american_flag	flag|symbol|artifact	entity	high	1k_stage9_audit_v3 + compound_head:flag	flag subtype
bar	place_or_structure|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	bar place/rod/counter ambiguity
guitar	musical_instrument|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	instrument
awning	covering_structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	covering structure
rack	furniture|support_structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	storage/support rack
border	spatial_region|visual_element	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	boundary/visual border
tablecloth	textile|furnishing|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	table textile
shoreline	landform|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	coastline/shore
potted_plant	plant|living_thing	entity	high	1k_stage9_audit_v3 + compound_head:plant	plant object
sideline	spatial_region|sports_field_part	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	sports field boundary
letter	text_element|symbol	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	text symbol
title	text_element	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	text/title element
petal	plant_part|plant	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	flower part
nose	body_part	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	body part
butterfly	insect|animal|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	animal/insect
temple	building|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	building/place
equipment	artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	equipment/artifact
stall	structure|place	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	booth/stall structure
living_room	interior_place|place	entity	high	1k_stage9_audit_v3 + compound_head:room	room/place
note	text_document|text_carrier|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	written note/document
rabbit	animal|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	animal
certificate	document|text_carrier|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	document
beetle	insect|animal|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	animal/insect
lid	container_part|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	container part
bleacher	seating_structure|furniture|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	stadium seating
button	clothing_part_or_device_part|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	button on clothing/device
performer	person|human	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	human role
bookshelf	furniture|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	furniture
deer	animal|living_thing	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	animal
beak	animal_part	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	bird part
clock	device|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	clock/time device
award	award|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	award object/concept
trophy	award|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	award object
moon	celestial_body|natural_object	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	celestial object
wire	artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	wire/cable
race_car	car|vehicle	entity	high	1k_stage9_audit_v3 + compound_head:car	vehicle subtype
whiteboard	board|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	writing board
sports_car	car|vehicle	entity	high	1k_stage9_audit_v3 + compound_head:car	vehicle subtype
robot	machine|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	machine/artifact
cabinet	furniture|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	furniture/storage
ceiling_fan	appliance|device|artifact	entity	high	1k_stage9_audit_v3 + compound_head:fan	device
band	accessory_or_group|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	band/accessory/group ambiguity
street_corner	place|spatial_region	entity	high	1k_stage9_audit_v3 + compound_head:corner	urban place
stick	natural_object_or_tool|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	stick/rod/tool ambiguity
chest	body_part_or_container|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	body chest or storage chest
bow	accessory_or_weapon|artifact	entity	medium	1k_stage9_audit_v3 + wordnet_hypernym	hair bow/ribbon or archery bow
signpost	sign|structure|artifact	entity	high	1k_stage9_audit_v3 + wordnet_hypernym	sign support
